,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
314,Port Blair,IN,78.84,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
315,Port-Gentil,GA,78.33,moderate rain,-0.7193,8.7815,Fengshui Residence
316,Tahoua,NE,77.47,overcast clouds,14.8888,5.2692,Bungalows Guesthouse
319,Porto Nacional,BR,78.8,scattered clouds,-10.7081,-48.4172,Vila Real Hotel
320,Urucara,BR,76.5,overcast clouds,-2.5364,-57.76,Pousada Maria Bonita
323,Mwense,ZM,76.33,overcast clouds,-10.3845,28.698,Mwense Council Guest House
326,Maceio,BR,78.24,broken clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
330,Parrita,CR,77.72,overcast clouds,9.5201,-84.3225,Beso del Viento
334,Chabahar,IR,82.87,clear sky,25.2919,60.643,هتل گدروشیا
349,Sitrah,BH,82.4,few clouds,26.1547,50.6206,Al Bander resort
353,Banfora,BF,77.61,broken clouds,10.6333,-4.7667,Residences David Hebié
354,Kigoma,TZ,75.9,overcast clouds,-4.8769,29.6267,MJI Mwema Lodge
356,Harper,LR,77.11,light rain,4.375,-7.7169,Screensaver
369,Alvorada,BR,76.41,scattered clouds,-12.48,-49.1247,Cristal Plaza Hotel
377,Dehloran,IR,80.87,broken clouds,32.6941,47.2679,کافه گیم استورم
378,Tutoia,BR,79.18,overcast clouds,-2.7619,-42.2744,Pousada Guará's
380,Itarema,BR,78.35,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
381,Santarem,BR,78.93,clear sky,-2.4431,-54.7083,Hotel Imperador
388,Acu,BR,77.07,overcast clouds,-5.5767,-36.9086,Hotel Oásis
389,Sao Jose Da Coroa Grande,BR,77.0,overcast clouds,-8.8978,-35.1478,Crôa Mares Hotel
397,Cotonou,BJ,79.59,light rain,6.3654,2.4183,Novotel Cotonou Orisha
411,Niquero,CU,77.16,clear sky,20.0431,-77.5828,Islazul Niquero
415,Bubaque,GW,83.64,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
418,Hounde,BF,80.92,overcast clouds,11.5,-3.5167,Carrefour où ouvriers dorment
427,Cururupu,BR,76.03,overcast clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
429,Luangwa,ZM,77.34,clear sky,-15.6167,30.4167,Gerasimos Safari Lodge
431,Itapissuma,BR,80.64,broken clouds,-7.7764,-34.8922,Pousada Cidade Criança
437,Oranjestad,AW,80.91,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
440,Sitio Novo Do Tocantins,BR,75.29,overcast clouds,-5.5183,-47.4611,Imperial Hotel
441,Tabou,CI,77.4,overcast clouds,4.423,-7.3528,hotêl doufoulougou
447,Domoni,KM,75.07,overcast clouds,-12.2569,44.5319,Al Djadid
448,Santa Marta,CO,82.89,broken clouds,11.2408,-74.199,Hotel La Ballena Azul
451,Santa Cruz Cabralia,BR,75.43,scattered clouds,-16.2781,-39.0247,Puerto Princesa Inn
455,Palma Soriano,CU,77.86,clear sky,20.2172,-75.9989,Mercedes Rooms
456,Dakar,SN,79.68,broken clouds,14.6937,-17.4441,Novotel Dakar
459,Santa Rosa,PH,88.09,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
464,Kudahuvadhoo,MV,80.89,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
469,Yenagoa,NG,75.94,overcast clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
471,Anloga,GH,79.75,broken clouds,5.7947,0.8973,Pin Drop Hotel
473,Bonthe,SL,77.56,moderate rain,7.5264,-12.505,Bonthe Holiday Village
482,Jacqueville,CI,79.3,light rain,5.2052,-4.4146,Hotel Le Martin Pecheur
483,Trincomalee,LK,81.61,broken clouds,8.5711,81.2335,Welcombe Hotel
485,Jacmel,HT,75.85,overcast clouds,18.2342,-72.5347,Historic Hotel Florita
492,Codajas,BR,79.07,overcast clouds,-3.8367,-62.0569,ATLÂNTIC HOTEL
497,Cape Canaveral,US,79.02,clear sky,28.4058,-80.6048,Residence Inn by Marriott Cape Canaveral Cocoa Beach
499,Maragogi,BR,77.05,overcast clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
500,Ruwi,OM,76.69,clear sky,23.5996,58.5507,Al Falaj Hotel
501,Siavonga,ZM,79.68,broken clouds,-16.5382,28.7088,Lavongora Waterfront Lodge
503,Conde,BR,78.26,few clouds,-7.2597,-34.9075,Pousada Beija Flor
507,Gwadar,PK,82.44,clear sky,25.1216,62.3254,Sadaf Resort
511,Weligama,LK,75.96,overcast clouds,5.9667,80.4167,Weligama Bay Resort
516,Mogadishu,SO,77.88,light rain,2.0371,45.3438,Hotel Juba
517,Buchanan,LR,77.14,moderate rain,5.8808,-10.0467,Kamaneahn Hotel Inc
526,Bandar-E Lengeh,IR,81.07,clear sky,26.5579,54.8807,کافی نت پارس
531,Vero Beach,US,78.04,clear sky,27.6386,-80.3973,Kimpton Vero Beach Hotel & Spa
536,Douentza,ML,85.91,overcast clouds,14.9951,-2.9517,Ogomono Doumbo
537,Villa Bruzual,VE,75.81,overcast clouds,9.3328,-69.1208,hotel italia
538,Touros,BR,76.96,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
543,Sao Miguel Do Araguaia,BR,78.58,scattered clouds,-13.275,-50.1628,Hotel Executivo Palace
547,Veraval,IN,75.45,clear sky,20.9,70.3667,Lords Inn Somnath
554,Umm Lajj,SA,77.25,overcast clouds,25.0213,37.2685,Moon light Furnished Units
559,Garissa,KE,76.03,scattered clouds,-0.4536,39.6401,Sharif Plaza Hotel
560,West Bay,KY,82.47,few clouds,19.3667,-81.4167,Calypso Cove
566,Fomboni,KM,77.9,overcast clouds,-12.28,43.7425,Auberge les abou
576,Lamu,KE,77.22,light rain,-2.2717,40.902,Lamu House
