City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
603,Puerto Ayacucho,5.6639,-67.6236,77.7,85,88,3.83,VE,2022-10-27 01:52:54,overcast clouds
604,Waldkraiburg,48.2085,12.3989,52.48,98,78,2.48,DE,2022-10-27 01:52:54,broken clouds
605,Igrim,63.1906,64.4162,26.24,84,100,10.33,RU,2022-10-27 01:52:54,overcast clouds
606,Lima,-12.0432,-77.0282,60.91,83,100,8.05,PE,2022-10-27 01:52:53,overcast clouds
607,Tahta,26.7693,31.5021,69.55,58,0,4.94,EG,2022-10-27 01:52:55,clear sky
608,Naldurg,17.8167,76.3,66.74,68,2,7.47,IN,2022-10-27 01:52:55,clear sky
609,Morro Da Fumaca,-28.6508,-49.21,66.67,90,100,2.33,BR,2022-10-27 01:52:55,overcast clouds
610,Aripuana,-9.1667,-60.6333,79.48,73,99,1.95,BR,2022-10-27 01:52:56,overcast clouds
611,Buriti Alegre,-18.14,-49.0403,74.62,43,22,4.9,BR,2022-10-27 01:52:56,few clouds
612,Itaituba,-4.2761,-55.9836,80.76,89,20,0.0,BR,2022-10-27 01:52:56,few clouds
613,Soyo,-6.1349,12.3689,76.71,90,80,8.81,AO,2022-10-27 01:52:57,broken clouds
614,Ouagadougou,12.3642,-1.5383,80.73,61,0,3.44,BF,2022-10-27 01:50:31,clear sky
615,Kasongo,-4.45,26.6667,66.79,97,84,2.3,CD,2022-10-27 01:52:57,broken clouds
616,Westport,41.1415,-73.3579,65.86,91,75,9.22,US,2022-10-27 01:52:57,broken clouds
617,Humaita,-7.5061,-63.0208,74.93,97,100,0.67,BR,2022-10-27 01:52:58,light rain
618,Aljezur,37.3191,-8.8033,65.66,90,75,5.79,PT,2022-10-27 01:52:58,broken clouds
619,Malko Tarnovo,41.9833,27.5333,53.35,71,79,1.41,BG,2022-10-27 01:52:58,broken clouds
620,Bluefields,12.0137,-83.7635,78.73,84,99,5.82,NI,2022-10-27 01:52:58,overcast clouds
621,Jalingo,8.8833,11.3667,74.68,58,71,3.02,NG,2022-10-27 01:52:59,broken clouds
622,Gulariya,28.2333,81.3333,65.52,74,0,2.95,NP,2022-10-27 01:52:59,clear sky
623,Ancud,-41.8697,-73.8203,48.54,91,17,10.76,CL,2022-10-27 01:48:20,few clouds
624,Bukama,-9.2,25.85,71.02,79,87,3.58,CD,2022-10-27 01:52:59,overcast clouds
625,Anzio,41.4853,12.6179,67.14,67,52,2.33,IT,2022-10-27 01:53:00,broken clouds
626,Lambarene,-0.7001,10.2406,73.83,98,100,1.54,GA,2022-10-27 01:53:00,moderate rain
